lat,lng,t,f
41.89548875660465,12.472164488951229,person,90
41.89552887701235,12.472176840786387,person,90
41.89556899739486,12.472163366057123,person,90
41.89556231066619,12.472144276857335,person,90
41.89554559384146,12.472087009257974,person,90
41.895582370850086,12.472071288740501,car,90
41.895582370850086,12.472034233235032,person,90
41.89562583456025,12.472075780316922,person,90
41.895619147837536,12.472052199540714,person,90
41.89582309256541,12.471997177729563,person,90
41.89581974921446,12.471991563259037,person,90
41.89579300240061,12.471932049871462,person,90
41.89549209997293,12.4724631787832,person,100
41.89545866628234,12.472433983536465,person,100
41.8954452928012,12.472281269938165,person,100
41.895438606059585,12.472231862597537,person,100
41.89549544334101,12.472253197585536,person,100
41.89547538312982,12.472226248127011,person,100
41.89556231066619,12.472308219396687,person,100
41.89548875660465,12.472167857633544,person,100
41.89548541323621,12.472164488951229,person,100
41.89552887701235,12.472174594998176,person,100
41.89554559384146,12.472085886363868,person,100
41.895582370850086,12.472071288740501,car,100
41.895548937206755,12.472031987446822,person,100
41.89557902748654,12.472038724811453,person,100
41.89562583456025,12.472076903211027,person,100
41.895619147837536,12.472052199540714,person,100
41.89581974921446,12.472002792200087,person,100
41.89581974921446,12.471989317470825,person,100
41.895796345752956,12.471936541447883,person,100
41.89549209997293,12.4724631787832,person,110
41.895465353021855,12.472427246171835,person,110
41.895462009652185,12.472263303632483,person,110
41.89549544334101,12.472252074691431,person,110
41.89547538312982,12.472225125232907,person,110
41.89556565403061,12.472307096502583,person,110
41.89548875660465,12.472168980527648,person,110
41.89548541323621,12.472166734739439,person,110
41.89552887701235,12.472171226315862,person,110
41.89556899739486,12.472164488951229,person,110
41.895582370850086,12.472071288740501,car,110
41.89562583456025,12.472076903211027,person,110
41.895619147837536,12.472052199540714,person,110
41.89581640586334,12.4719837030003,person,110
41.895799689105125,12.471941033024304,person,110
41.89549209997293,12.4724631787832,person,120
41.895465353021855,12.472426123277728,person,120
41.89542188920248,12.472255443373747,person,120
41.89549878670894,12.472252074691431,person,120
41.89547872649879,12.472225125232907,person,120
41.89548875660465,12.472168980527648,person,120
41.89548541323621,12.472165611845334,person,120
41.89552887701235,12.472170103421755,person,120
41.89556231066619,12.472146522645547,person,120
41.895582370850086,12.472071288740501,car,120
41.89555228057188,12.472028618764506,person,120
41.89562583456025,12.472076903211027,person,120
41.895619147837536,12.472052199540714,person,120
41.89581640586334,12.471994931941351,person,120
41.89581640586334,12.47198145721209,person,120
41.89580303245712,12.471944401706619,person,120
